date,event,violent_or_natural,cause,deaths_per_day,over_average_estimated_deaths_that_day,daily_average_deaths,estimated_total_deaths_annually,estimated_mortality_rate_for_year,estimated_total_population,source_links
5/26/2020,COVID-19 Pandemic,nonviolent,Pandemic,780,-8212.863644,8992.863644,3282395.23,0.01,"328,239,523","https://github.com/nytimes/covid-19-data/blob/master/excess-deaths/deaths.csv, https://covid.cdc.gov/covid-data-tracker/#trends_dailytrendsdeaths"
9/29/2020,COVID-19 Pandemic,nonviolent,Pandemic,774,-8218.863644,8992.863644,3282395.23,0.01,"328,239,523","https://github.com/nytimes/covid-19-data/blob/master/excess-deaths/deaths.csv, https://covid.cdc.gov/covid-data-tracker/#trends_dailytrendsdeaths"
7/14/2020,COVID-19 Pandemic,nonviolent,Pandemic,773,-8219.863644,8992.863644,3282395.23,0.01,"328,239,523","https://github.com/nytimes/covid-19-data/blob/master/excess-deaths/deaths.csv, https://covid.cdc.gov/covid-data-tracker/#trends_dailytrendsdeaths"
11/16/2020,COVID-19 Pandemic,nonviolent,Pandemic,762,-8230.863644,8992.863644,3282395.23,0.01,"328,239,523","https://github.com/nytimes/covid-19-data/blob/master/excess-deaths/deaths.csv, https://covid.cdc.gov/covid-data-tracker/#trends_dailytrendsdeaths"
6/1/2020,COVID-19 Pandemic,nonviolent,Pandemic,761,-8231.863644,8992.863644,3282395.23,0.01,"328,239,523","https://github.com/nytimes/covid-19-data/blob/master/excess-deaths/deaths.csv, https://covid.cdc.gov/covid-data-tracker/#trends_dailytrendsdeaths"
6/17/2020,COVID-19 Pandemic,nonviolent,Pandemic,754,-8238.863644,8992.863644,3282395.23,0.01,"328,239,523","https://github.com/nytimes/covid-19-data/blob/master/excess-deaths/deaths.csv, https://covid.cdc.gov/covid-data-tracker/#trends_dailytrendsdeaths"
8/16/2020,COVID-19 Pandemic,nonviolent,Pandemic,750,-8242.863644,8992.863644,3282395.23,0.01,"328,239,523","https://github.com/nytimes/covid-19-data/blob/master/excess-deaths/deaths.csv, https://covid.cdc.gov/covid-data-tracker/#trends_dailytrendsdeaths"
10/13/2020,COVID-19 Pandemic,nonviolent,Pandemic,748,-8244.863644,8992.863644,3282395.23,0.01,"328,239,523","https://github.com/nytimes/covid-19-data/blob/master/excess-deaths/deaths.csv, https://covid.cdc.gov/covid-data-tracker/#trends_dailytrendsdeaths"
3/31/2020,COVID-19 Pandemic,nonviolent,Pandemic,744,-8248.863644,8992.863644,3282395.23,0.01,"328,239,523","https://github.com/nytimes/covid-19-data/blob/master/excess-deaths/deaths.csv, https://covid.cdc.gov/covid-data-tracker/#trends_dailytrendsdeaths"
6/16/2020,COVID-19 Pandemic,nonviolent,Pandemic,738,-8254.863644,8992.863644,3282395.23,0.01,"328,239,523","https://github.com/nytimes/covid-19-data/blob/master/excess-deaths/deaths.csv, https://covid.cdc.gov/covid-data-tracker/#trends_dailytrendsdeaths"
8/3/2020,COVID-19 Pandemic,nonviolent,Pandemic,733,-8259.863644,8992.863644,3282395.23,0.01,"328,239,523","https://github.com/nytimes/covid-19-data/blob/master/excess-deaths/deaths.csv, https://covid.cdc.gov/covid-data-tracker/#trends_dailytrendsdeaths"
6/18/2020,COVID-19 Pandemic,nonviolent,Pandemic,733,-8259.863644,8992.863644,3282395.23,0.01,"328,239,523","https://github.com/nytimes/covid-19-data/blob/master/excess-deaths/deaths.csv, https://covid.cdc.gov/covid-data-tracker/#trends_dailytrendsdeaths"
7/11/2020,COVID-19 Pandemic,nonviolent,Pandemic,726,-8266.863644,8992.863644,3282395.23,0.01,"328,239,523","https://github.com/nytimes/covid-19-data/blob/master/excess-deaths/deaths.csv, https://covid.cdc.gov/covid-data-tracker/#trends_dailytrendsdeaths"
7/1/2020,COVID-19 Pandemic,nonviolent,Pandemic,725,-8267.863644,8992.863644,3282395.23,0.01,"328,239,523","https://github.com/nytimes/covid-19-data/blob/master/excess-deaths/deaths.csv, https://covid.cdc.gov/covid-data-tracker/#trends_dailytrendsdeaths"
6/12/2020,COVID-19 Pandemic,nonviolent,Pandemic,711,-8281.863644,8992.863644,3282395.23,0.01,"328,239,523","https://github.com/nytimes/covid-19-data/blob/master/excess-deaths/deaths.csv, https://covid.cdc.gov/covid-data-tracker/#trends_dailytrendsdeaths"
6/6/2020,COVID-19 Pandemic,nonviolent,Pandemic,709,-8283.863644,8992.863644,3282395.23,0.01,"328,239,523","https://github.com/nytimes/covid-19-data/blob/master/excess-deaths/deaths.csv, https://covid.cdc.gov/covid-data-tracker/#trends_dailytrendsdeaths"
11/9/2020,COVID-19 Pandemic,nonviolent,Pandemic,704,-8288.863644,8992.863644,3282395.23,0.01,"328,239,523","https://github.com/nytimes/covid-19-data/blob/master/excess-deaths/deaths.csv, https://covid.cdc.gov/covid-data-tracker/#trends_dailytrendsdeaths"
10/3/2020,COVID-19 Pandemic,nonviolent,Pandemic,703,-8289.863644,8992.863644,3282395.23,0.01,"328,239,523","https://github.com/nytimes/covid-19-data/blob/master/excess-deaths/deaths.csv, https://covid.cdc.gov/covid-data-tracker/#trends_dailytrendsdeaths"
5/17/2020,COVID-19 Pandemic,nonviolent,Pandemic,698,-8294.863644,8992.863644,3282395.23,0.01,"328,239,523","https://github.com/nytimes/covid-19-data/blob/master/excess-deaths/deaths.csv, https://covid.cdc.gov/covid-data-tracker/#trends_dailytrendsdeaths"
5/31/2020,COVID-19 Pandemic,nonviolent,Pandemic,696,-8296.863644,8992.863644,3282395.23,0.01,"328,239,523","https://github.com/nytimes/covid-19-data/blob/master/excess-deaths/deaths.csv, https://covid.cdc.gov/covid-data-tracker/#trends_dailytrendsdeaths"
6/24/2020,COVID-19 Pandemic,nonviolent,Pandemic,692,-8300.863644,8992.863644,3282395.23,0.01,"328,239,523","https://github.com/nytimes/covid-19-data/blob/master/excess-deaths/deaths.csv, https://covid.cdc.gov/covid-data-tracker/#trends_dailytrendsdeaths"
4/7/2020,COVID-19 Pandemic,nonviolent,Pandemic,691,-8301.863644,8992.863644,3282395.23,0.01,"328,239,523","https://github.com/nytimes/covid-19-data/blob/master/excess-deaths/deaths.csv, https://covid.cdc.gov/covid-data-tracker/#trends_dailytrendsdeaths"
6/19/2020,COVID-19 Pandemic,nonviolent,Pandemic,690,-8302.863644,8992.863644,3282395.23,0.01,"328,239,523","https://github.com/nytimes/covid-19-data/blob/master/excess-deaths/deaths.csv, https://covid.cdc.gov/covid-data-tracker/#trends_dailytrendsdeaths"
10/6/2020,COVID-19 Pandemic,nonviolent,Pandemic,672,-8320.863644,8992.863644,3282395.23,0.01,"328,239,523","https://github.com/nytimes/covid-19-data/blob/master/excess-deaths/deaths.csv, https://covid.cdc.gov/covid-data-tracker/#trends_dailytrendsdeaths"
9/19/2020,COVID-19 Pandemic,nonviolent,Pandemic,664,-8328.863644,8992.863644,3282395.23,0.01,"328,239,523","https://github.com/nytimes/covid-19-data/blob/master/excess-deaths/deaths.csv, https://covid.cdc.gov/covid-data-tracker/#trends_dailytrendsdeaths"
7/3/2020,COVID-19 Pandemic,nonviolent,Pandemic,661,-8331.863644,8992.863644,3282395.23,0.01,"328,239,523","https://github.com/nytimes/covid-19-data/blob/master/excess-deaths/deaths.csv, https://covid.cdc.gov/covid-data-tracker/#trends_dailytrendsdeaths"
11/15/2020,COVID-19 Pandemic,nonviolent,Pandemic,660,-8332.863644,8992.863644,3282395.23,0.01,"328,239,523","https://github.com/nytimes/covid-19-data/blob/master/excess-deaths/deaths.csv, https://covid.cdc.gov/covid-data-tracker/#trends_dailytrendsdeaths"
6/26/2020,COVID-19 Pandemic,nonviolent,Pandemic,651,-8341.863644,8992.863644,3282395.23,0.01,"328,239,523","https://github.com/nytimes/covid-19-data/blob/master/excess-deaths/deaths.csv, https://covid.cdc.gov/covid-data-tracker/#trends_dailytrendsdeaths"
6/13/2020,COVID-19 Pandemic,nonviolent,Pandemic,646,-8346.863644,8992.863644,3282395.23,0.01,"328,239,523","https://github.com/nytimes/covid-19-data/blob/master/excess-deaths/deaths.csv, https://covid.cdc.gov/covid-data-tracker/#trends_dailytrendsdeaths"
7/2/2020,COVID-19 Pandemic,nonviolent,Pandemic,620,-8372.863644,8992.863644,3282395.23,0.01,"328,239,523","https://github.com/nytimes/covid-19-data/blob/master/excess-deaths/deaths.csv, https://covid.cdc.gov/covid-data-tracker/#trends_dailytrendsdeaths"
5/24/2020,COVID-19 Pandemic,nonviolent,Pandemic,620,-8372.863644,8992.863644,3282395.23,0.01,"328,239,523","https://github.com/nytimes/covid-19-data/blob/master/excess-deaths/deaths.csv, https://covid.cdc.gov/covid-data-tracker/#trends_dailytrendsdeaths"
10/17/2020,COVID-19 Pandemic,nonviolent,Pandemic,593,-8399.863644,8992.863644,3282395.23,0.01,"328,239,523","https://github.com/nytimes/covid-19-data/blob/master/excess-deaths/deaths.csv, https://covid.cdc.gov/covid-data-tracker/#trends_dailytrendsdeaths"
5/25/2020,COVID-19 Pandemic,nonviolent,Pandemic,582,-8410.863644,8992.863644,3282395.23,0.01,"328,239,523","https://github.com/nytimes/covid-19-data/blob/master/excess-deaths/deaths.csv, https://covid.cdc.gov/covid-data-tracker/#trends_dailytrendsdeaths"
10/10/2020,COVID-19 Pandemic,nonviolent,Pandemic,577,-8415.863644,8992.863644,3282395.23,0.01,"328,239,523","https://github.com/nytimes/covid-19-data/blob/master/excess-deaths/deaths.csv, https://covid.cdc.gov/covid-data-tracker/#trends_dailytrendsdeaths"
8/23/2020,COVID-19 Pandemic,nonviolent,Pandemic,572,-8420.863644,8992.863644,3282395.23,0.01,"328,239,523","https://github.com/nytimes/covid-19-data/blob/master/excess-deaths/deaths.csv, https://covid.cdc.gov/covid-data-tracker/#trends_dailytrendsdeaths"
8/10/2020,COVID-19 Pandemic,nonviolent,Pandemic,565,-8427.863644,8992.863644,3282395.23,0.01,"328,239,523","https://github.com/nytimes/covid-19-data/blob/master/excess-deaths/deaths.csv, https://covid.cdc.gov/covid-data-tracker/#trends_dailytrendsdeaths"
7/26/2020,COVID-19 Pandemic,nonviolent,Pandemic,564,-8428.863644,8992.863644,3282395.23,0.01,"328,239,523","https://github.com/nytimes/covid-19-data/blob/master/excess-deaths/deaths.csv, https://covid.cdc.gov/covid-data-tracker/#trends_dailytrendsdeaths"
6/30/2020,COVID-19 Pandemic,nonviolent,Pandemic,560,-8432.863644,8992.863644,3282395.23,0.01,"328,239,523","https://github.com/nytimes/covid-19-data/blob/master/excess-deaths/deaths.csv, https://covid.cdc.gov/covid-data-tracker/#trends_dailytrendsdeaths"
6/20/2020,COVID-19 Pandemic,nonviolent,Pandemic,560,-8432.863644,8992.863644,3282395.23,0.01,"328,239,523","https://github.com/nytimes/covid-19-data/blob/master/excess-deaths/deaths.csv, https://covid.cdc.gov/covid-data-tracker/#trends_dailytrendsdeaths"
8/9/2020,COVID-19 Pandemic,nonviolent,Pandemic,558,-8434.863644,8992.863644,3282395.23,0.01,"328,239,523","https://github.com/nytimes/covid-19-data/blob/master/excess-deaths/deaths.csv, https://covid.cdc.gov/covid-data-tracker/#trends_dailytrendsdeaths"
10/19/2020,COVID-19 Pandemic,nonviolent,Pandemic,513,-8479.863644,8992.863644,3282395.23,0.01,"328,239,523","https://github.com/nytimes/covid-19-data/blob/master/excess-deaths/deaths.csv, https://covid.cdc.gov/covid-data-tracker/#trends_dailytrendsdeaths"
11/2/2020,COVID-19 Pandemic,nonviolent,Pandemic,510,-8482.863644,8992.863644,3282395.23,0.01,"328,239,523","https://github.com/nytimes/covid-19-data/blob/master/excess-deaths/deaths.csv, https://covid.cdc.gov/covid-data-tracker/#trends_dailytrendsdeaths"
9/13/2020,COVID-19 Pandemic,nonviolent,Pandemic,510,-8482.863644,8992.863644,3282395.23,0.01,"328,239,523","https://github.com/nytimes/covid-19-data/blob/master/excess-deaths/deaths.csv, https://covid.cdc.gov/covid-data-tracker/#trends_dailytrendsdeaths"
